id,neg|score,neg|p-value,neg|fdr,neg|rank,neg|lfc,neg|goodsgrnacount,neg|goodsgrnaid,neg|goodsgrnalfc
NOC3L,0.015956,0.10895,1,1229,-0.38533,4,HGLibA_32239;HGLibA_32237;HGLibB_32194;HGLibB_32196;,-2.3151;-0.92352;-0.76287;-0.0077852;
C1QTNF4,0.058826,0.22919,1,3370,-0.38532,5,HGLibA_05945;HGLibB_05942;HGLibA_05944;HGLibB_05940;HGLibB_05941;,-0.64515;-0.36271;-0.64621;-0.40793;-0.17399;
WTAP,0.01051,0.068652,1,887,-0.38529,4,HGLibA_54431;HGLibB_54363;HGLibB_54364;HGLibA_54429;,-1.3245;-0.28245;-0.38529;-1.5662;
hsa-mir-3151,0.11103,0.27269,1,5438,-0.3852,3,HGLibA_58663;HGLibA_58664;HGLibA_58662;,-2.1666;-0.64179;-0.12861;
hsa-mir-6727,0.26503,0.4449,1,9306,-0.38519,3,HGLibA_63061;HGLibA_63062;HGLibA_63063;,-0.84251;-0.50047;-0.26991;
SMPDL3A,0.014569,0.10263,1,1139,-0.38512,5,HGLibB_45761;HGLibB_45759;HGLibA_45815;HGLibA_45814;HGLibB_45760;,-1.104;-0.46695;-0.52259;-0.30328;-0.14981;
ZNF446,0.013222,0.090582,1,1059,-0.38508,4,HGLibB_55952;HGLibA_56020;HGLibB_55953;HGLibA_56019;,-0.89056;-0.56655;-0.90559;-0.20361;
ADAMTS20,0.02297,0.13097,1,1676,-0.38504,5,HGLibA_00824;HGLibB_00822;HGLibA_00823;HGLibB_00823;HGLibA_00825;,-2.0349;-0.36109;-0.40898;-0.46331;-0.030761;
TGM1,0.10128,0.31069,1,5077,-0.38496,5,HGLibA_49252;HGLibB_49195;HGLibB_49193;HGLibB_49194;HGLibA_49253;,-0.53368;-0.53279;-0.43898;-0.33094;-0.14665;
DYRK2,0.075584,0.26656,1,4068,-0.38481,4,HGLibB_14254;HGLibB_14256;HGLibA_14277;HGLibA_14278;,-6.2133;-0.50687;-0.66462;-0.26274;
ZNF217,0.047967,0.20227,1,2904,-0.3847,4,HGLibA_55600;HGLibB_55533;HGLibB_55534;HGLibA_55599;,-1.2712;-0.60102;-0.75053;-0.16839;
BEX2,0.040944,0.18586,1,2578,-0.38466,3,HGLibA_04443;HGLibA_04444;HGLibA_04442;,-0.79736;-1.0645;-0.82373;
LMX1B,0.046404,0.20004,1,2828,-0.38456,4,HGLibB_26697;HGLibA_26735;HGLibA_26736;HGLibB_26698;,-0.5134;-2.454;-0.48086;-0.28826;
MTAP,0.022027,0.12962,1,1636,-0.38438,4,HGLibA_30319;HGLibA_30320;HGLibB_30279;HGLibA_30318;,-1.8045;-3.9438;-0.63882;-0.12995;
MMP19,0.035469,0.17689,1,2297,-0.38419,4,HGLibA_29504;HGLibB_29464;HGLibA_29505;HGLibB_29462;,-1.1598;-0.99315;-0.51026;-0.25811;
HIST1H2BI,0.043036,0.1893,1,2671,-0.38413,4,HGLibB_21407;HGLibB_21406;HGLibA_21434;HGLibA_21435;,-1.5463;-0.47812;-0.38775;-0.3805;
TGFB1I1,0.03678,0.17879,1,2364,-0.38407,4,HGLibA_49211;HGLibA_49210;HGLibA_49212;HGLibB_49151;,-1.3903;-0.58106;-0.96076;-0.18707;
TLR6,0.045461,0.1983,1,2786,-0.38405,4,HGLibA_49658;HGLibB_49597;HGLibA_49659;HGLibB_49599;,-0.73963;-1.0849;-0.53287;-0.23523;
SLC22A7,0.058466,0.22919,1,3354,-0.38403,4,HGLibA_44596;HGLibB_44545;HGLibA_44597;HGLibB_44543;,-0.90575;-0.46699;-0.62815;-0.30106;
HDAC6,0.0060906,0.061455,1,574,-0.38378,5,HGLibB_20991;HGLibA_21017;HGLibA_21018;HGLibA_21019;HGLibB_20989;,-0.825;-2.0207;-0.64325;-0.12431;-0.058101;
ACTL10,0.11488,0.34021,1,5589,-0.38368,4,HGLibB_00615;HGLibA_00616;HGLibA_00617;HGLibB_00616;,-0.76319;-0.88261;-1.1914;-0.0041638;
KIAA1143,0.06957,0.24732,1,3829,-0.38347,6,HGLibB_24664;HGLibB_24663;HGLibA_24697;HGLibA_24696;HGLibB_24662;HGLibA_24698;,-0.632;-0.4515;-1.3456;-0.31544;-0.16465;-0.046847;
CLC,0.016686,0.11031,1,1289,-0.38338,5,HGLibB_09794;HGLibB_09793;HGLibA_09802;HGLibB_09792;HGLibA_09801;,-1.3722;-0.62776;-0.49264;-0.1677;-0.27412;
FOXRED2,0.091396,0.29284,1,4682,-0.38308,4,HGLibA_17955;HGLibB_17932;HGLibB_17931;HGLibA_17953;,-0.79869;-0.41903;-0.67056;-0.34713;
MBTPS1,0.011199,0.081152,1,933,-0.38303,3,HGLibB_28493;HGLibA_28535;HGLibA_28534;,-0.89191;-1.4355;-0.9401;
CIAPIN1,0.28704,0.53867,1,9840,-0.38302,4,HGLibA_09679;HGLibB_09671;HGLibB_09669;HGLibA_09678;,-1.2693;-0.45399;-0.31205;-0.49711;
CMAS,0.0012059,0.016773,1,139,-0.38294,6,HGLibB_10170;HGLibA_10178;HGLibB_10169;HGLibA_10180;HGLibA_10179;HGLibB_10168;,-0.56658;-0.86391;-0.45978;-0.3061;-0.24916;-0.27435;
WASF3,0.041834,0.18762,1,2619,-0.38284,4,HGLibB_53892;HGLibA_53960;HGLibA_53959;HGLibA_53958;,-1.2386;-0.33464;-0.80132;-0.43104;
FBXO17,0.040568,0.18586,1,2559,-0.38283,4,HGLibA_17036;HGLibB_17014;HGLibA_17035;HGLibB_17013;,-3.7185;-0.53246;-0.83349;-0.23319;
CLCC1,0.079607,0.2722,1,4225,-0.38269,4,HGLibB_09804;HGLibA_09815;HGLibA_09813;HGLibB_09805;,-0.9761;-0.61601;-1.1388;-0.14937;
FAM24A,0.084878,0.27929,1,4420,-0.38266,6,HGLibA_16546;HGLibA_16547;HGLibA_16545;HGLibB_16524;HGLibB_16523;HGLibB_16525;,-1.1729;-1.1628;-0.61455;-0.14339;-0.15076;-0.049876;
CDH4,0.013452,0.091166,1,1075,-0.38264,5,HGLibB_08672;HGLibB_08674;HGLibA_08681;HGLibB_08673;HGLibA_08680;,-0.55065;-0.33585;-0.75227;-0.37537;-0.38992;
hsa-mir-5047,0.048024,0.1547,1,2910,-0.38259,3,HGLibA_61477;HGLibA_61474;HGLibA_61475;,-1.2453;-0.34206;-0.42311;
hsa-mir-548h-2,0.16821,0.30712,1,6910,-0.38256,2,HGLibA_61997;HGLibA_61999;,-0.62605;-0.38256;
SPTBN5,0.0069822,0.063864,1,640,-0.3823,5,HGLibA_46889;HGLibB_46831;HGLibB_46833;HGLibB_46832;HGLibA_46888;,-0.99395;-0.44616;-0.31843;-0.47109;-0.28692;
LLGL2,0.048651,0.20297,1,2939,-0.38212,4,HGLibA_26651;HGLibB_26613;HGLibA_26652;HGLibA_26650;,-4.9298;-2.0589;-0.29213;-0.47212;
MED13L,0.0057391,0.060753,1,538,-0.382,3,HGLibB_28710;HGLibB_28709;HGLibA_28751;,-1.3082;-0.78354;-1.0662;
ZNF625,0.095861,0.27271,1,4866,-0.38199,3,HGLibA_56419;HGLibA_56418;HGLibB_56351;,-0.56099;-0.38199;-0.45989;
SHC1,0.10203,0.31238,1,5110,-0.38195,5,HGLibB_43947;HGLibB_43946;HGLibA_44001;HGLibA_43999;HGLibA_44000;,-2.1129;-0.42859;-0.52805;-0.33531;-0.16028;
UCK1,0.22205,0.4718,1,8209,-0.38188,5,HGLibB_52744;HGLibA_52810;HGLibA_52811;HGLibB_52746;HGLibA_52809;,-0.97528;-0.64798;-0.68934;-0.10602;-0.11578;
TINF2,0.016859,0.11074,1,1301,-0.38186,4,HGLibB_49494;HGLibA_49554;HGLibB_49492;HGLibA_49552;,-1.4725;-0.37461;-0.91112;-0.38912;
R3HDML,0.013892,0.10096,1,1101,-0.38183,6,HGLibB_39730;HGLibB_39729;HGLibA_39782;HGLibA_39780;HGLibA_39781;HGLibB_39731;,-1.131;-0.34647;-0.47739;-0.41718;-0.32577;-0.13757;
TUBA1A,0.03541,0.17689,1,2294,-0.38182,5,HGLibA_52242;HGLibA_52243;HGLibB_52177;HGLibB_52178;HGLibA_52244;,-0.6078;-0.41233;-0.35132;-0.62913;-0.17946;
NELFE,0.033241,0.17467,1,2184,-0.3817,5,HGLibA_31681;HGLibA_31680;HGLibA_31679;HGLibB_31638;HGLibB_31636;,-0.48803;-1.0412;-0.51227;-0.27537;-0.092604;
OR52M1,0.035888,0.17779,1,2321,-0.38157,5,HGLibB_34144;HGLibA_34190;HGLibA_34191;HGLibB_34145;HGLibB_34146;,-0.88881;-1.0006;-0.68378;-0.079363;-0.042559;
TBC1D10B,0.17196,0.40666,1,7001,-0.38126,4,HGLibA_48466;HGLibB_48408;HGLibA_48467;HGLibB_48407;,-1.0646;-0.53467;-0.64429;-0.22784;
SERINC3,0.060417,0.23027,1,3443,-0.38106,4,HGLibA_43491;HGLibB_43437;HGLibB_43436;HGLibB_43438;,-0.69924;-0.47053;-0.44286;-0.31925;
FILIP1,0.091889,0.29423,1,4713,-0.38104,4,HGLibB_17506;HGLibA_17529;HGLibB_17505;HGLibA_17528;,-0.61075;-0.83744;-0.60192;-0.16017;
BYSL,0.16946,0.40528,1,6943,-0.38101,4,HGLibA_05008;HGLibB_05005;HGLibB_05004;HGLibB_05003;,-0.86271;-0.31832;-0.53379;-0.44371;
PHB,0.019609,0.11829,1,1476,-0.38062,4,HGLibB_36264;HGLibA_36312;HGLibB_36266;HGLibA_36311;,-0.48628;-1.0124;-2.7866;-0.27496;
RAD52,0.18996,0.43425,1,7431,-0.38057,5,HGLibB_40046;HGLibA_40096;HGLibA_40095;HGLibB_40045;HGLibA_40097;,-0.50201;-1.0818;-1.1528;-0.09715;-0.25912;
EI24,0.032881,0.17436,1,2168,-0.3804,5,HGLibB_14669;HGLibB_14668;HGLibA_14690;HGLibB_14667;HGLibA_14691;,-1.7011;-0.86019;-0.25316;-0.50764;-0.096623;
DEFB4B,0.035839,0.14111,1,2318,-0.38033,3,HGLibA_12918;HGLibA_12917;HGLibA_12916;,-0.37995;-0.38071;-0.80089;
C8orf22,0.078909,0.27074,1,4200,-0.38033,5,HGLibA_06603;HGLibB_06596;HGLibB_06598;HGLibB_06597;HGLibA_06602;,-1.914;-0.51239;-0.55829;-0.24312;-0.24828;
HSD17B3,0.053513,0.21878,1,3159,-0.38023,5,HGLibB_22161;HGLibB_22162;HGLibA_22189;HGLibA_22191;HGLibB_22160;,-0.43433;-0.46254;-0.48314;-0.32612;-0.1815;
