gene,pos|score,pos|p-value,pos|fdr,pos|rank,pos|lfc,pos|goodsgrnacount,pos|goodsgrnaid,pos|goodsgrnalfc
LYRM5,0.0020996,0.010143,0.924682,235,0.93187,6,HGLibA_27755;HGLibB_27715;HGLibA_27756;HGLibA_27754;HGLibB_27714;HGLibB_27713;,1.3119;1.2559;0.68496;0.91064;0.9531;0.14534;
YIPF6,0.002133,0.010435,0.937955,236,0.74252,5,HGLibB_54618;HGLibA_54685;HGLibA_54686;HGLibB_54617;HGLibB_54619;,1.043;1.0088;0.85791;0.62688;0.62712;
N4BP2L1,0.0021338,0.010435,0.937955,237,0.77803,5,HGLibB_30914;HGLibA_30956;HGLibB_30913;HGLibA_30955;HGLibB_30912;,2.4233;1.2445;0.44026;0.49002;1.066;
TSPY2,0.0021633,0.0044481,0.879632,239,1.463,2,HGLibA_51966;HGLibA_51967;,1.6941;1.232;
PPWD1,0.002176,0.010557,0.94257,240,0.82884,5,HGLibA_38241;HGLibA_38243;HGLibB_38193;HGLibA_38242;HGLibB_38194;,0.86595;2.1812;1.9122;0.53403;0.79173;
ZNF260,0.0022126,0.011139,0.945518,243,0.71958,5,HGLibB_55624;HGLibA_55691;HGLibA_55689;HGLibA_55690;HGLibB_55623;,1.0724;0.8842;0.55496;1.8887;0.52008;
SHISA9,0.0022259,0.011139,0.945518,244,0.74462,4,HGLibB_44001;HGLibB_44000;HGLibB_44002;HGLibA_44053;,2.049;0.80671;0.68253;1.5542;
MYOZ2,0.0022646,0.011293,0.945518,247,0.74063,4,HGLibB_30863;HGLibA_30904;HGLibB_30861;HGLibB_30862;,0.74475;1.0353;0.7365;1.8898;
ZC3H13,0.002348,0.011549,0.945518,255,0.70967,4,HGLibB_54893;HGLibB_54894;HGLibA_54961;HGLibA_54962;,1.3077;1.2706;0.64724;0.7721;
PRDM9,0.0024363,0.011901,0.945518,266,1.1894,5,HGLibB_38355;HGLibA_38403;HGLibB_38356;HGLibB_38354;HGLibA_38404;,1.3102;1.0685;1.3398;0.31474;3.1244;
RASSF1,0.0024407,0.011901,0.945518,267,0.70546,5,HGLibB_40324;HGLibA_40374;HGLibB_40323;HGLibA_40375;HGLibA_40373;,1.4325;0.96335;0.59286;0.81805;0.32768;
BAK1,0.0024617,0.012045,0.945518,271,0.74328,5,HGLibA_04133;HGLibA_04134;HGLibA_04135;HGLibB_04131;HGLibB_04133;,1.7499;1.9028;1.1952;0.29131;0.17888;
RNF180,0.0025508,0.017742,0.945518,277,0.75278,4,HGLibA_41579;HGLibB_41528;HGLibB_41529;HGLibA_41580;,1.361;0.92123;0.58432;1.1956;
PPP2R4,0.0025623,0.017846,0.945518,279,0.72657,5,HGLibB_38117;HGLibB_38118;HGLibA_38166;HGLibB_38119;HGLibA_38168;,1.6946;0.84337;0.96527;0.60978;0.11959;
LSM6,0.002629,0.018091,0.945518,284,0.94339,5,HGLibA_27549;HGLibB_27507;HGLibA_27548;HGLibA_27547;HGLibB_27508;,2.1011;1.2049;0.59996;3.5718;0.68189;
ZNF639,0.0026548,0.018091,0.945518,285,0.75221,5,HGLibB_56374;HGLibA_56441;HGLibA_56439;HGLibA_56440;HGLibB_56373;,2.0885;1.3871;0.70236;0.80205;0.41435;
BCL7C,0.0026896,0.018153,0.945518,288,0.82704,5,HGLibA_04345;HGLibA_04344;HGLibA_04343;HGLibB_04343;HGLibB_04342;,1.4411;3.3679;0.83535;0.81872;0.30321;
ESCO1,0.0027127,0.018153,0.945518,289,0.74724,4,HGLibA_15556;HGLibA_15557;HGLibB_15536;HGLibB_15535;,2.2542;1.3405;1.5421;0.15396;
STRN,0.0027702,0.018491,0.945518,294,0.7386,5,HGLibA_47595;HGLibA_47594;HGLibB_47537;HGLibA_47593;HGLibB_47536;,1.2341;0.78518;0.80373;0.69202;0.29918;
FABP5,0.0028327,0.018888,0.945518,298,0.78478,4,HGLibA_15923;HGLibB_15899;HGLibA_15921;HGLibA_15922;,2.8025;0.79359;0.79245;0.77711;
SETD2,0.0028402,0.018888,0.945518,300,0.78623,4,HGLibA_43644;HGLibA_43642;HGLibB_43590;HGLibA_43643;,1.7039;1.628;0.89946;0.67301;
ZBBX,0.0029286,0.019187,0.945518,305,0.7674,5,HGLibA_54783;HGLibA_54785;HGLibB_54716;HGLibB_54717;HGLibB_54718;,1.5537;1.1885;0.87416;0.66063;0.0014448;
NCMAP,0.0029288,0.019187,0.945518,306,0.89644,5,HGLibB_31290;HGLibA_31331;HGLibA_31333;HGLibB_31289;HGLibA_31332;,1.103;1.9771;1.3686;0.27635;0.68989;
OGG1,0.0029342,0.019187,0.945518,307,1.0133,4,HGLibB_33277;HGLibA_33322;HGLibB_33279;HGLibA_33324;,1.0019;1.9537;1.0921;1.0247;
RASSF6,0.0030678,0.01936,0.945518,316,0.8464,5,HGLibB_40337;HGLibA_40389;HGLibB_40339;HGLibB_40338;HGLibA_40388;,0.8146;0.87821;1.0935;2.3383;0.59294;
RNASE11,0.0030964,0.019493,0.945518,318,0.79612,5,HGLibB_41343;HGLibA_41395;HGLibA_41394;HGLibA_41393;HGLibB_41341;,1.1641;0.96459;0.62766;1.7301;0.29631;
FAM53C,0.0031565,0.019585,0.945518,322,0.82887,5,HGLibB_16619;HGLibA_16642;HGLibB_16617;HGLibA_16641;HGLibB_16618;,1.7174;1.1477;2.1618;0.51006;0.004637;
PIGR,0.0031706,0.019585,0.945518,324,0.79504,4,HGLibA_36581;HGLibB_36534;HGLibA_36583;HGLibB_36536;,2.649;1.3641;1.1626;0.42747;
SPG11,0.0032116,0.019585,0.945518,328,0.7745,5,HGLibB_46573;HGLibA_46631;HGLibA_46629;HGLibB_46575;HGLibA_46630;,1.7521;1.2058;2.1857;0.34324;0.1889;
C14orf180,0.0032689,0.019667,0.945518,332,0.92531,4,HGLibA_05347;HGLibA_05348;HGLibB_05345;HGLibA_05349;,2.3241;1.7715;0.45411;1.3965;
SHE,0.0033467,0.019771,0.945518,338,0.83998,6,HGLibA_44020;HGLibA_44022;HGLibB_43968;HGLibA_44021;HGLibB_43969;HGLibB_43967;,1.1403;1.2967;0.45511;0.53967;3.0837;0.088897;
SNX10,0.0033829,0.019771,0.945518,340,0.70529,4,HGLibA_46026;HGLibB_45970;HGLibA_46028;HGLibB_45971;,1.4931;0.89351;0.96813;0.51706;
SPHAR,0.0034631,0.0039771,0.879632,343,1.9956,1,HGLibA_46641;,1.9956;
PSG11,0.0034997,0.019945,0.945518,346,0.94744,5,HGLibB_38987;HGLibA_39038;HGLibB_38988;HGLibA_39036;HGLibB_38989;,1.0414;0.85349;1.2661;1.3983;0.053101;
SCYL1,0.0036911,0.020447,0.945518,360,0.82558,5,HGLibB_43032;HGLibA_43086;HGLibB_43031;HGLibB_43033;HGLibA_43084;,1.3279;1.4328;1.0078;0.64334;0.037766;
LMOD3,0.0036929,0.020447,0.945518,361,0.7675,4,HGLibB_26684;HGLibA_26722;HGLibB_26686;HGLibB_26685;,3.4194;1.0408;0.49424;1.1086;
DOCK10,0.0037762,0.020979,0.945518,366,0.75199,6,HGLibB_13714;HGLibA_13735;HGLibB_13715;HGLibA_13734;HGLibA_13733;HGLibB_13713;,1.497;2.1059;0.61153;0.89246;0.56181;0.44132;
F2RL2,0.0038436,0.021025,0.945518,371,0.77526,4,HGLibA_15869;HGLibA_15868;HGLibA_15867;HGLibB_15847;,2.4903;0.66514;0.88539;1.2883;
FAM180B,0.0038702,0.021076,0.945518,372,0.76941,4,HGLibA_16315;HGLibB_16293;HGLibA_16316;HGLibB_16294;,1.8124;1.1303;1.1314;0.40852;
CRLS1,0.0039689,0.021184,0.945518,377,0.74679,4,HGLibA_11199;HGLibA_11197;HGLibA_11198;HGLibB_11185;,1.0762;1.219;1.0963;0.41735;
ATP11A,0.0041219,0.021554,0.945518,390,0.72302,5,HGLibB_03551;HGLibB_03553;HGLibA_03554;HGLibB_03552;HGLibA_03555;,1.598;0.71326;1.3812;0.68872;0.73279;
KIAA1211,0.0042965,0.022831,0.945518,404,0.83052,5,HGLibB_24681;HGLibB_24680;HGLibA_24714;HGLibA_24716;HGLibB_24682;,0.99573;0.71383;0.96651;0.94721;0.2762;
PDE9A,0.0043389,0.022942,0.945518,406,0.8001,5,HGLibB_35789;HGLibA_35834;HGLibA_35836;HGLibB_35787;HGLibB_35788;,2.3645;0.71926;1.2742;0.88094;0.04928;
LCE1E,0.0043411,0.015657,0.945518,407,0.9379,3,HGLibA_26111;HGLibA_26113;HGLibB_26076;,1.0061;0.86968;1.7202;
HIVEP1,0.0043953,0.023404,0.945518,411,0.95639,4,HGLibB_21540;HGLibB_21539;HGLibA_21567;HGLibA_21566;,1.3225;1.362;3.9707;0.5903;
ZDHHC24,0.0045149,0.023588,0.945518,421,0.7584,4,HGLibA_55112;HGLibB_55044;HGLibA_55110;HGLibB_55043;,2.687;0.85328;0.66352;0.87767;
KCNAB2,0.0045986,0.023836,0.945518,426,0.89955,4,HGLibB_24115;HGLibA_24149;HGLibB_24117;HGLibA_24151;,0.97844;4.7846;1.6918;0.82065;
