gene,pos|score,pos|p-value,pos|fdr,pos|rank,pos|lfc,pos|goodsgrnacount,pos|goodsgrnaid,pos|goodsgrnalfc,id
DSG1,0.00012989,0.00049717,0.440404,22,0.8675,5,HGLibB_14000;HGLibA_14022;HGLibA_14023;HGLibA_14021;HGLibB_13999;,1.0936;0.88904;2.5336;0.84597;0.64847;,1828
BHMT2,0.00013455,0.00052364,0.440404,23,0.89802,5,HGLibA_04489;HGLibA_04487;HGLibB_04486;HGLibB_04485;HGLibB_04487;,1.7383;1.5675;1.0617;0.73433;0.0029704;,23743
CD86,0.00013813,0.00052775,0.440404,24,0.91371,6,HGLibA_08467;HGLibA_08469;HGLibB_08461;HGLibB_08460;HGLibA_08468;HGLibB_08462;,5.0076;1.1968;1.1576;0.66983;0.36908;0.34895;,942
DDHD1,0.0001782,0.00062494,0.464191,26,0.96962,5,HGLibB_12590;HGLibB_12589;HGLibA_12604;HGLibA_12603;HGLibB_12588;,2.3538;1.4143;0.52492;1.6126;0.23499;,80821
BRF1,0.00018426,0.00062859,0.464191,27,1.3423,6,HGLibA_04797;HGLibB_04795;HGLibA_04798;HGLibB_04794;HGLibA_04796;HGLibB_04796;,1.7579;1.0856;2.8381;1.5989;0.5535;0.41133;,2972
IFNL1,0.00019601,0.0007874,0.485043,29,1.3553,6,HGLibA_22719;HGLibB_22688;HGLibA_22720;HGLibB_22687;HGLibB_22689;HGLibA_22718;,1.3725;1.338;0.99236;1.3958;2.3601;0.46139;,282618
KCNAB2,0.00022047,0.00084033,0.485043,31,0.9841,5,HGLibB_24115;HGLibB_24117;HGLibA_24149;HGLibB_24116;HGLibA_24150;,1.2702;2.5709;5.0179;0.69802;0.50558;,8514
TRPV2,0.00023546,0.00087729,0.485043,35,0.80918,5,HGLibA_51784;HGLibB_51719;HGLibB_51720;HGLibB_51721;HGLibA_51786;,1.475;1.316;1.6584;0.22095;0.30236;,51393
SMIM6,0.00025293,0.00091426,0.485043,36,0.73937,5,HGLibB_45708;HGLibB_45710;HGLibA_45763;HGLibB_45709;HGLibA_45764;,1.2132;1.947;1.1042;0.37454;0.33532;,100130933
RPL7L1,0.00025894,0.00094392,0.485043,38,1.1238,5,HGLibA_41999;HGLibB_41947;HGLibA_41998;HGLibB_41946;HGLibB_41945;,1.4838;1.3168;1.7793;0.93091;0.63224;,285855
MYLK2,0.0002726,0.00096491,0.485043,40,0.87381,5,HGLibA_30786;HGLibA_30787;HGLibA_30788;HGLibB_30745;HGLibB_30746;,1.4302;5.0751;0.62838;0.69585;1.0518;,85366
LMOD3,0.00027632,0.00096537,0.485043,41,0.90774,5,HGLibB_26684;HGLibA_26722;HGLibB_26685;HGLibB_26686;HGLibA_26724;,4.0578;1.3681;1.4788;0.23705;0.44739;,56203
GNL2,0.0003089,0.0010402,0.485043,44,0.70423,6,HGLibB_19519;HGLibB_19520;HGLibA_19546;HGLibA_19547;HGLibA_19548;HGLibB_19521;,1.1286;0.68531;0.73396;0.6792;0.72315;0.10532;,29889
PIK3C3,0.00032091,0.0012063,0.516885,46,0.76191,4,HGLibB_36583;HGLibA_36629;HGLibB_36582;HGLibA_36631;,0.82473;1.174;0.69908;1.0074;,5289
MRPL18,0.00036418,0.0013026,0.516885,52,0.80575,6,HGLibB_29873;HGLibA_29914;HGLibB_29874;HGLibB_29875;HGLibA_29915;HGLibA_29916;,1.09;1.074;0.74224;0.63382;0.42275;0.86925;,79590
